hidden_layers;optimizer;learning_rate;momentum;weight_decay;batch_size;max_steps;eval_freq;max_accuracy;time_taken
400,100;adam;0.001000;0.000000;0.001000;400;1500;100;0.540400;6.581
100;SGD;0.002000;0.000000;0.000000;200;1500;100;0.460000;2.774
100;SGD;0.002000;0.000000;0.000000;400;1500;100;0.466900;3.847
100,100;SGD;0.002000;0.000000;0.000000;200;1500;100;0.462900;2.773
100,100;SGD;0.002000;0.000000;0.000000;200;3000;100;0.474300;5.343
100,50,50;SGD;0.002000;0.000000;0.000000;200;3000;100;0.482100;5.769
100,40,40,40,40;SGD;0.002000;0.000000;0.000000;200;3000;100;0.473600;6.370
100,30,30,30,30,30,30,30,30,30;SGD;0.002000;0.000000;0.000000;200;3000;100;0.102100;8.239
100,30,30,30,30,30,30,30,30,30;SGD;0.020000;0.000000;0.000000;200;3000;100;0.370500;8.101
100,30,30,30,30,30,30,30,30,30;SGD;0.020000;0.000000;0.000000;800;3000;100;0.378854;15.519
100,30,30,30,30,30,30,30,30,30;SGD;0.050000;0.000000;0.000000;200;9000;100;0.499000;24.222
400,100;SGD;0.002000;0.000000;0.000000;200;3000;100;0.486000;6.637
100,30,30,30,30,30,30,30,30,30;SGD;0.002000;0.900000;0.000000;200;3000;100;0.367700;8.680
100,30,30,30,30,30,30,30,30,30;SGD;0.002000;0.900000;0.000000;200;9000;100;0.490100;25.820
100,30,30,30,30,30,30,30,30,30;SGD;0.002000;0.900000;0.000000;400;9000;100;0.462400;32.678
100,30,30,30,30,30,30,30,30,30;RMSprop;0.200000;0.000000;0.000000;400;3000;100;0.100000;11.800
100,30,30,30,30,30,30,30,30,30;RMSprop;0.200000;0.900000;0.000000;400;3000;100;0.100000;12.409
100,30,30,30,30,30,30,30,30,30;Adam;0.002000;0.000000;0.000000;400;3000;100;0.511000;12.824
100,30,30,30,30,30,30,30,30,30;Adam;0.001000;0.000000;0.000000;400;9000;100;0.505100;37.233
100,30,30,30,30,30,30,30,30,30;Adam;0.001000;0.000000;0.001000;400;9000;100;0.518300;39.899
100,30,30,30,30,30,30,30,30,30;Adam;0.001000;0.000000;0.003000;400;9000;100;0.513700;38.719
100,30,30,30,30,30,30,30,30,30;Adam;0.001000;0.000000;0.002000;400;9000;100;0.513600;39.938
400,100;Adam;0.001000;0.000000;0.002000;400;1500;100;0.468700;5.850
400,100;Adam;0.001000;0.000000;0.002000;400;300;100;0.271000;1.256
400,100;Adam;0.001000;0.000000;0.002000;400;3000;100;0.503100;11.687
100,100,100;Adam;0.001000;0.000000;0.002000;400;3000;100;0.505100;9.331
100,100,100;Adam;0.001000;0.000000;0.002000;400;1500;100;0.500900;4.683
400,400,400;Adam;0.001000;0.000000;0.002000;400;1500;100;0.517300;6.908
1000,1000,1000,1000;Adam;0.001000;0.000000;0.002000;400;1500;100;0.518700;17.853
1000,1000,1000,1000;Adam;0.001000;0.000000;0.002000;400;9000;100;0.534200;106.600
1000,1000,1000,1000;Adam;0.001000;0.000000;0.002000;400;9000;100;0.553400;120.333
1000,1000,1000,1000;Adam;0.002000;0.000000;0.002000;400;1500;100;0.521500;19.681
1000,1000,1000,1000;Adam;0.001000;0.000000;0.002000;400;3000;100;0.553400;38.921
1000,1000,1000,1000;Adam;0.000500;0.000000;0.002000;400;3000;100;0.559800;38.933
100,30,30,30,30,30,30,30,30,30;Adam;0.000500;0.000000;0.002000;400;3000;100;0.506500;19.176
400,400,400;Adam;0.000500;0.000000;0.002000;400;3000;100;0.549300;15.903
200,100;Adam;0.000500;0.000000;0.002000;400;3000;100;0.545800;10.271
100,50;Adam;0.000500;0.000000;0.002000;400;3000;100;0.533100;10.323
100,100,100;Adam;0.000500;0.000000;0.002000;400;1500;100;0.535400;6.027
50,50,50;Adam;0.000500;0.000000;0.002000;400;1500;100;0.510700;5.912
150,80;Adam;0.000500;0.000000;0.002000;400;1500;100;0.527900;5.370
3000;Adam;0.000500;0.000000;0.002000;400;1500;100;0.526500;22.112
200,50;Adam;0.001000;0.000000;0.002000;400;1500;100;0.525600;5.308
200,100;Adam;0.001000;0.000000;0.002000;400;1500;100;0.535100;5.306
300,300;Adam;0.001000;0.000000;0.002000;400;1500;100;0.536700;6.322
80,80,80,80;Adam;0.001000;0.000000;0.002000;400;1500;100;0.529800;6.391
200,100,100;Adam;0.001000;0.000000;0.002000;400;1500;100;0.534600;6.051
100,100,100;Adam;0.001000;0.000000;0.002000;400;1500;100;0.530700;5.968
200,100,50;Adam;0.001000;0.000000;0.002000;400;1500;100;0.536000;5.950
200,100,50;Adam;0.000500;0.000000;0.002000;400;3000;100;0.544000;11.850
500,500,500,500;Adam;0.000500;0.000000;0.002000;400;3000;100;0.554100;19.809
500,500,500,500;Adam;0.000500;0.000000;0.002000;400;1500;100;0.554100;10.102
500,500,500,500;Adam;0.000200;0.000000;0.002000;400;1500;100;0.549400;10.062
500,500,500,500,500;Adam;0.000500;0.000000;0.002000;400;1500;100;0.555900;11.266
400,400,400,400,400;Adam;0.000500;0.000000;0.002000;400;1500;100;0.549000;10.084
1000,1000,1000,1000,1000,1000,1000;Adam;0.000100;0.000000;0.002000;400;3000;100;0.543100;58.182
1000,1000,1000,1000,1000,1000,1000;Adam;0.000100;0.000000;0.004000;400;3000;100;0.542000;58.482
500,500,500,500;Adam;0.000500;0.000000;0.002000;400;1500;100;0.554100;10.125
500,500,500,500;Adam;0.000500;0.000000;0.002000;400;1500;100;0.554100;10.182
